,KY_CD,_c1
0,672,5
1,675,336
2,676,8
3,677,64
4,678,2929
5,110,35203
6,111,2922
7,112,17313
8,113,15535
9,114,5084
10,115,44
11,116,3897
12,117,16843
13,118,19113
14,119,13
15,455,15
16,340,9901
17,341,250709
18,342,347
19,343,3393
20,344,183672
21,345,346
22,346,165
23,347,24782
24,348,17131
25,230,51
26,231,827
27,349,21
28,232,6145
29,233,15835
30,234,40
31,685,4
32,235,94125
33,236,18513
34,237,47
35,120,124
36,238,152
37,571,107
38,121,27961
39,572,311
40,122,46
41,124,873
42,125,1448
43,126,49394
44,578,202135
45,350,570
46,351,144409
47,352,11538
48,353,4799
49,354,31
50,355,3594
51,356,161
52,358,2266
53,359,25227
54,360,3505
55,361,91422
56,363,181
57,364,979
58,365,4108
59,366,8
60,881,5
61,101,1964
62,102,28
63,103,13
64,104,4541
65,105,74560
66,106,68949
67,107,70156
68,109,125960
