,_c0,KY_CD
0,21,672
1,1512,675
2,33,676
3,272,677
4,9253,678
5,108387,110
6,9882,111
7,61563,112
8,55586,113
9,14760,114
10,137,115
11,12165,116
12,67430,117
13,56027,118
14,49,119
15,62,455
16,35453,340
17,903763,341
18,948,342
19,14725,343
20,574113,344
21,1589,345
22,846,346
23,79698,347
24,65719,348
25,349,230
26,2740,231
27,50,349
28,21307,232
29,49090,233
30,112,234
31,19,685
32,303703,235
33,78687,236
34,176,237
35,2857,238
36,428,120
37,217,571
38,82383,121
39,902,572
40,125,122
41,4,123
42,2449,124
43,4444,125
44,125382,126
45,3,577
46,670071,578
47,16,460
48,2167,350
49,472265,351
50,70477,352
51,15636,353
52,97,354
53,13568,355
54,731,356
55,11,357
56,18984,358
57,109069,359
58,16064,360
59,305867,361
60,3,362
61,866,363
62,6422,364
63,10879,365
64,47,366
65,13,881
66,4909,101
67,94,102
68,36,103
69,15228,104
70,214273,105
71,204959,106
72,204397,107
73,473466,109
