,_c0,RPT_DT
0,1457,10/23/2013
1,1187,04/28/2013
2,1221,11/12/2012
3,1370,01/02/2009
4,1410,11/08/2008
5,1265,12/30/2015
6,1117,02/17/2015
7,1406,01/28/2016
8,1621,08/11/2011
9,1587,07/18/2008
10,1129,02/24/2008
11,1695,08/07/2007
12,1178,05/11/2014
13,1367,03/06/2014
14,1605,03/13/2007
15,1575,10/30/2006
16,1590,09/29/2006
17,1345,07/22/2012
18,1341,05/15/2010
19,1341,10/19/2009
20,1476,08/11/2012
21,1624,06/04/2010
22,1108,01/10/2010
23,1278,11/08/2009
24,1138,05/15/2011
25,1579,10/27/2010
26,1406,07/18/2009
27,1481,02/24/2009
28,1498,07/22/2013
29,1563,01/06/2006
30,1308,12/30/2016
31,1286,10/23/2014
32,1304,04/28/2014
33,1296,11/12/2013
34,1682,08/07/2008
35,1560,03/13/2008
36,1603,10/30/2007
37,1552,09/29/2007
38,1448,05/11/2015
39,1180,03/06/2015
40,1315,02/17/2016
41,1435,06/04/2011
42,1264,01/10/2011
43,1444,11/16/2010
44,1380,08/11/2013
45,1364,05/15/2012
46,1303,10/27/2011
47,1460,02/28/2006
48,1446,07/26/2010
49,1464,11/12/2014
50,1517,07/22/2014
51,1590,08/07/2009
52,1483,03/13/2009
53,1472,10/30/2008
54,1574,09/29/2008
55,1365,01/06/2007
56,1377,10/23/2015
57,1383,04/28/2015
58,1495,05/11/2016
59,1137,03/06/2016
60,1645,02/28/2007
61,1580,05/22/2006
62,1490,03/17/2006
63,1180,10/23/2016
64,1302,08/15/2010
65,1519,10/30/2009
66,1463,09/29/2009
67,1241,01/06/2008
68,1547,05/15/2013
69,1305,10/27/2012
70,1392,11/12/2015
71,1574,07/22/2015
72,1324,04/28/2016
73,1312,06/04/2012
74,1556,01/10/2012
75,1355,11/16/2011
76,1551,07/26/2011
77,1490,08/11/2014
78,1712,05/22/2007
79,903,03/17/2007
80,1317,10/01/2006
81,1483,05/15/2014
82,1457,07/26/2012
83,1441,02/28/2008
84,1257,06/11/2006
85,1158,11/12/2016
86,1354,08/11/2015
87,1365,07/22/2016
88,1453,08/15/2011
89,1246,10/27/2013
90,1557,06/04/2013
91,1503,01/10/2013
92,1371,11/16/2012
93,1481,01/06/2009
94,1503,05/19/2010
95,1456,07/26/2013
96,1611,06/08/2010
97,1564,01/14/2010
98,1534,05/19/2011
99,1396,12/03/2010
100,1292,02/28/2009
101,1539,05/22/2008
102,1463,03/17/2008
103,1658,10/01/2007
104,1533,05/15/2015
105,1346,08/11/2016
106,1399,10/27/2014
107,1530,06/04/2014
108,1378,01/10/2014
109,1442,11/16/2013
110,1404,08/15/2012
111,1637,06/11/2007
112,802,11/23/2006
113,1562,06/08/2011
114,1325,01/14/2011
115,1618,04/04/2006
116,1501,08/15/2013
117,1186,11/16/2014
118,1347,07/26/2014
119,1342,05/19/2012
120,1231,12/03/2011
121,1338,10/27/2015
122,1402,06/04/2015
123,988,01/10/2015
124,1268,05/15/2016
125,1532,09/02/2010
126,1512,05/22/2009
127,1459,03/17/2009
128,1582,10/01/2008
129,1682,06/11/2008
130,1283,11/23/2007
131,1441,08/15/2014
132,1096,05/19/2013
133,1289,12/03/2012
134,1303,04/04/2007
135,1538,05/26/2006
136,1276,10/27/2016
137,1516,06/11/2009
138,1107,11/23/2008
139,1511,06/08/2012
140,1215,01/14/2012
141,1409,11/16/2015
142,1364,07/26/2015
143,1264,06/04/2016
144,1113,01/10/2016
145,1540,08/19/2010
146,1200,05/30/2010
147,1486,10/01/2009
148,1412,09/02/2011
149,1397,08/15/2015
150,1489,07/26/2016
151,1281,02/01/2010
152,1426,11/23/2009
153,1331,05/26/2007
154,1258,12/10/2006
155,1599,10/05/2006
156,1358,08/20/2006
157,1608,06/15/2006
158,1431,11/16/2016
159,1495,04/04/2008
160,1395,05/19/2014
161,1461,12/03/2013
162,1236,09/02/2012
163,1197,06/08/2013
164,1366,01/14/2013
165,1390,08/19/2011
166,1126,05/30/2011
167,1200,06/08/2014
168,1436,01/14/2014
169,1222,02/01/2011
170,1390,12/07/2010
171,1274,09/02/2013
172,1426,05/19/2015
173,1240,12/03/2014
174,1426,08/15/2016
175,1286,08/19/2012
176,1616,05/30/2012
177,1164,05/26/2008
178,1458,12/10/2007
179,1698,10/05/2007
180,1515,08/20/2007
181,1582,06/15/2007
182,1590,11/27/2006
183,1454,03/23/2010
184,1235,01/18/2010
185,1158,03/19/2006
186,1268,04/04/2009
187,1558,09/02/2014
188,1243,09/06/2010
189,1428,04/12/2010
190,1611,05/26/2009
191,1571,12/10/2008
192,1234,10/05/2008
193,1429,08/19/2013
194,1415,05/30/2013
195,1301,04/08/2006
196,1345,03/19/2007
197,1311,03/23/2011
198,1238,01/18/2011
199,1305,12/03/2015
200,1419,06/08/2015
201,1305,01/14/2015
202,1493,05/19/2016
203,1618,08/20/2008
204,1133,06/15/2008
205,1653,11/27/2007
206,1596,02/01/2012
207,1355,12/07/2011
208,1001,04/08/2007
209,1440,02/01/2013
210,1310,12/07/2012
211,1399,03/19/2008
212,1507,08/19/2014
213,1461,05/30/2014
214,1251,07/02/2006
215,1266,12/03/2016
216,1639,08/20/2009
217,1468,06/15/2009
218,768,11/27/2008
219,1532,03/23/2012
220,1417,01/18/2012
221,1252,09/06/2011
222,1381,04/12/2011
223,1499,09/02/2015
224,1332,06/08/2016
225,1353,01/14/2016
226,1319,05/01/2010
227,1485,12/10/2009
228,1418,10/05/2009
229,1554,07/02/2007
230,1542,12/14/2006
231,1691,08/24/2006
232,1602,06/19/2006
233,1517,03/30/2006
234,1367,09/02/2016
235,1135,05/01/2011
236,1224,03/23/2013
237,1361,01/18/2013
238,1416,09/06/2012
239,1339,04/12/2012
240,1332,02/01/2014
241,1316,12/07/2013
242,1561,08/19/2015
243,1401,05/30/2015
244,1488,03/19/2009
245,1574,06/23/2010
246,1526,02/05/2010
247,1256,11/27/2009
248,1530,04/08/2008
249,1560,08/24/2007
250,1749,06/19/2007
251,1517,03/30/2007
252,1671,09/13/2006
253,991,02/01/2015
254,1073,12/07/2014
255,1461,08/19/2016
256,1169,05/30/2016
257,1149,03/23/2014
258,1381,01/18/2014
259,1421,05/01/2012
260,1618,07/02/2008
261,1477,12/14/2007
262,1389,09/06/2013
263,1340,04/12/2013
264,1587,04/08/2009
265,1531,06/23/2011
266,1264,02/05/2011
267,1241,03/27/2010
268,1110,03/27/2011
269,1312,10/11/2010
270,1622,01/23/2006
271,1352,06/23/2012
272,1034,02/05/2012
273,1300,12/07/2015
274,1152,03/23/2015
275,995,01/18/2015
276,1250,02/01/2016
277,1500,05/01/2013
278,1407,10/07/2006
279,1406,09/06/2014
