,PD_CD,_c1
0,899,157
1,781,482
2,782,4017
3,331,140
4,170,2142
5,783,2
6,333,4018
7,289,27
8,784,14
9,335,1694
10,786,4
11,174,265
12,787,2
13,175,3994
14,788,261
15,338,4018
16,176,108
17,789,127
18,339,4017
19,221,4016
20,177,1057
21,672,123
22,178,3
23,223,4018
24,179,2156
25,674,128
26,836,2
27,224,3895
28,721,63
29,839,1
30,678,1
31,723,2428
32,110,745
33,561,7
34,111,768
35,724,691
36,725,2514
37,112,709
38,563,132
39,113,4018
40,114,2222
41,727,534
42,565,257
43,566,3035
44,115,3604
45,610,186
46,729,4008
47,567,4010
48,117,3935
49,568,2050
50,450,391
51,451,3130
52,569,3324
53,119,3
54,614,2
55,291,37
56,455,957
57,293,97
58,500,3589
59,618,9
60,457,3761
61,501,2275
62,619,19
63,502,1309
64,503,3896
65,792,3524
66,297,47
67,341,441
68,793,4009
69,180,273
70,342,17
71,181,1384
72,343,3852
73,505,1444
74,299,13
75,344,99
76,507,1209
77,183,892
78,345,25
79,796,3
80,840,10
81,508,1507
82,797,18
83,841,117
84,184,2
85,347,1072
86,509,583
87,185,316
88,798,1
89,681,3870
90,799,268
91,843,15
92,186,19
93,231,2726
94,349,4011
95,187,178
96,844,69
97,683,454
98,845,6
99,233,1961
100,846,5
101,847,2556
102,234,639
103,685,3
104,848,1069
105,730,777
106,849,191
107,731,956
108,687,95
109,570,841
110,688,133
111,733,15
112,689,3
113,121,15
114,122,74
115,574,5
116,737,5
117,576,99
118,125,35
119,739,4001
120,622,3
121,461,2948
122,462,3891
123,625,724
124,464,323
125,627,49
126,510,2342
127,466,1922
128,511,4013
129,512,1720
130,350,232
131,468,10
132,351,191
133,513,6
134,514,760
135,515,2441
136,191,912
137,193,754
138,355,5
139,969,12
140,357,4014
141,401,3260
142,519,407
143,195,94
144,402,1084
145,853,175
146,691,20
147,403,3607
148,197,1126
149,241,1248
150,404,1310
151,198,4018
152,693,7
153,405,4005
154,199,1137
155,243,1909
156,694,3
157,244,1195
158,406,1262
159,695,359
160,407,3067
161,696,215
162,858,324
163,408,946
164,697,20
165,409,1621
166,742,164
167,698,38
168,904,48
169,905,4016
170,248,15
171,744,1309
172,907,688
173,746,87
174,584,16
175,585,30
176,748,3944
177,586,31
178,749,4016
179,587,30
180,588,17
181,633,184
182,589,3
183,637,4018
184,475,1544
185,638,4018
186,520,407
187,476,19
188,521,2738
189,639,4018
190,477,344
191,478,3575
192,360,438
193,522,1
194,361,1928
195,479,354
196,523,2
197,524,239
198,975,1
199,363,370
200,365,199
201,860,2
202,366,1235
203,410,1189
204,861,2
205,411,1171
206,367,2036
207,529,45
208,862,193
209,412,1311
210,413,1843
211,864,15
212,414,1791
213,415,3878
214,866,10
215,254,4018
216,416,1106
217,750,4000
218,417,3531
219,868,7
220,256,3195
221,418,1188
222,419,3878
223,301,2960
224,258,4017
225,591,70
226,259,4018
227,916,4018
228,303,2781
229,754,77
230,593,18
231,305,3139
232,918,718
233,594,169
234,143,4
235,756,20
236,595,61
237,307,2791
238,640,2423
239,596,677
240,802,635
241,759,3860
242,803,25
243,641,48
244,146,1
245,643,743
246,148,1
247,644,679
248,645,135
249,808,372
250,646,3
251,809,1868
252,647,442
253,648,11
254,530,24
255,531,155
256,649,3092
257,532,47
258,489,1479
259,371,230
260,533,35
261,373,60
262,375,896
263,537,85
264,420,1178
265,421,4018
266,377,1785
267,872,19
268,422,1252
269,379,744
270,423,117
271,261,166
272,874,128
273,424,1232
274,263,3436
275,425,1179
276,876,4
277,264,2132
278,426,498
279,922,3845
280,878,3697
281,760,3631
282,427,4
283,265,36
284,761,593
285,428,608
286,266,426
287,879,323
288,267,4015
289,762,239
290,429,49
291,268,1685
292,269,4017
293,313,3023
294,764,558
295,153,1563
296,766,97
297,811,41
298,155,1348
299,812,212
300,813,1
301,490,3880
302,201,1450
303,157,3645
304,652,609
305,814,1
306,491,138
307,815,9
308,203,3106
309,159,1307
310,493,1484
311,204,1777
312,817,101
313,205,4017
314,494,3250
315,818,94
316,701,112
317,819,1
318,703,428
319,659,299
320,209,1898
321,380,1474
322,498,184
323,705,3815
324,381,29
325,544,1194
326,382,2638
327,706,87
328,707,3826
329,383,171
330,708,1809
331,384,3549
332,385,185
333,880,144
334,386,1726
335,430,966
336,548,331
337,431,215
338,387,123
339,388,3929
340,432,684
341,433,3820
342,389,3293
343,271,733
344,434,165
345,885,1
346,435,681
347,273,1206
348,436,14
349,887,36
350,437,916
351,770,210
352,888,42
353,275,20
354,438,4017
355,889,32
356,,2687
357,321,4018
358,439,3997
359,277,1197
360,772,406
361,323,141
362,162,3
363,775,29
364,820,2
365,164,337
366,821,10
367,822,7
368,327,56
369,661,3421
370,166,227
371,779,2074
372,211,3737
373,329,270
374,662,36
375,168,2412
376,663,55
377,213,3998
378,826,227
379,664,11
380,665,550
381,214,2394
382,827,7
383,711,193
384,829,90
385,667,1
386,669,29
387,101,4018
388,390,1410
389,391,1316
390,553,40
391,715,14
392,392,1468
393,104,214
394,393,187
395,718,3830
396,105,2233
397,394,176
398,106,3963
399,395,539
400,719,150
401,557,77
402,890,51
403,396,299
404,107,54
405,602,12
406,397,4018
407,441,4018
408,892,33
409,109,4018
410,398,3209
411,442,1011
412,604,19
413,399,3711
414,443,1867
415,605,57
416,281,15
417,445,65
418,283,19
419,447,243
420,285,24
421,780,44
