,year,total
0,1015,9
1,1016,15
2,1026,5
3,1900,5
4,1905,2
5,1906,1
6,1908,3
7,1909,3
8,1910,9
9,1911,7
10,1912,10
11,1913,9
12,1914,11
13,1915,8
14,1916,6
15,1919,1
16,1920,6
17,1922,1
18,1929,1
19,1930,1
20,1938,1
21,1940,1
22,1941,2
23,1942,2
24,1945,2
25,1946,2
26,1948,1
27,1950,3
28,1954,2
29,1955,3
30,1956,1
31,1958,1
32,1959,2
33,1960,10
34,1961,1
35,1962,3
36,1964,1
37,1965,5
38,1966,27
39,1967,13
40,1968,10
41,1969,7
42,1970,6
43,1971,3
44,1972,6
45,1973,7
46,1974,9
47,1975,8
48,1976,5
49,1977,9
50,1978,6
51,1979,9
52,1980,14
53,1981,8
54,1982,7
55,1983,6
56,1984,8
57,1985,21
58,1986,30
59,1987,16
60,1988,17
61,1989,25
62,1990,35
63,1991,29
64,1992,45
65,1993,46
66,1994,64
67,1995,75
68,1996,122
69,1997,134
70,1998,224
71,1999,342
72,2000,908
73,2001,1008
74,2002,1047
75,2003,1547
76,2004,2116
77,2005,10797
78,2006,539084
79,2007,537242
80,2008,528744
81,2009,511014
82,2010,509853
83,2011,498381
84,2012,504334
85,2013,495304
86,2014,491131
87,2015,477031
88,2016,468290
