count,DATE,AWND,FMTM,PGTM,PRCP,TMAX,TMIN
1606,2010/1/22,6.49,1356,1355,0,44,32
1553,2010/8/10,3.36,102,102,0,92,78
1284,2011/2/26,,2046,2111,0,43,31
1540,2011/9/14,4.92,2059,2121,0,85,70
1093,2012/4/1,2.46,,,0.51,52,42
1543,2012/10/18,4.25,,,0,65,50
1325,2013/5/6,3.58,,,0,69,46
1479,2013/11/22,6.26,,,0.07,57,51
1451,2014/6/10,3.36,,,0,77,65
925,2014/12/27,4.47,,,0,55,44
1565,2015/7/15,4.47,,,0.12,81,72
1122,2016/1/31,5.14,,,0,56,36
1453,2016/8/18,1.57,,,0.03,85,72
1436,2010/1/23,3.13,310,757,0,40,28
1649,2010/8/11,5.14,1128,900,0,93,76
1188,2011/2/27,6.49,1031,1030,0,50,38
1382,2011/9/15,4.7,1744,1709,0.07,76,53
1453,2012/4/2,7.83,,,0.04,57,40
1524,2012/10/19,5.14,,,0.89,66,61
1579,2013/5/7,5.82,,,0,74,52
1415,2013/11/23,9.62,,,0,54,31
1571,2014/6/11,7.16,,,0.02,70,61
939,2014/12/28,5.82,,,0.1,54,43
1558,2015/7/16,5.59,,,0,80,64
1250,2016/2/1,5.82,,,0.01,59,44
1461,2016/8/19,2.24,,,0.01,88,74
1180,2010/1/24,2.46,1141,1134,0.02,50,32
1506,2010/8/12,5.82,1916,1916,0.09,76,68
1279,2011/2/28,9.62,1917,1155,0.44,60,40
1415,2011/9/16,5.37,1042,900,0,65,51
1533,2012/4/3,5.82,,,0,64,40
1483,2012/10/20,3.58,,,0,69,54
1370,2013/5/8,5.59,,,3.02,63,55
1058,2013/11/24,12.08,,,0,30,23
1602,2014/6/12,5.59,,,0.07,73,60
1141,2014/12/29,5.14,,,0,44,34
1404,2015/7/17,3.8,,,0,81,67
1446,2016/2/2,3.58,,,0,50,38
1317,2016/8/20,4.7,,,0.82,83,70
1241,2010/1/25,,1438,1432,1.25,57,49
1499,2010/8/13,7.38,444,451,0,82,68
1419,2011/3/1,6.71,1033,850,0,46,33
1250,2011/9/17,5.37,931,930,0,65,53
1583,2012/4/4,5.82,,,0,68,47
1209,2012/10/21,5.82,,,0,65,49
1417,2013/5/9,3.58,,,0.5,68,54
1338,2013/11/25,5.82,,,0,35,23
1421,2014/6/13,3.58,,,1.28,79,65
1085,2014/12/30,4.25,,,0,34,28
1324,2015/7/18,4.47,,,0.32,85,71
1352,2016/2/3,6.49,,,0.73,59,42
1269,2016/8/21,4.25,,,0.31,86,73
1537,2010/1/26,8.72,1419,1434,0,49,35
1429,2010/8/14,5.37,1205,1443,0,82,65
1517,2011/3/2,10.96,1931,1740,0,53,25
1161,2011/9/18,7.38,1124,921,0,68,53
1441,2012/4/5,5.14,,,0,58,42
1409,2012/10/22,4.25,,,0,66,49
1530,2013/5/10,3.8,,,0.01,79,59
