,KY_CD,_c1
0,672,7
1,675,300
2,676,5
3,677,72
4,678,1298
5,110,34380
6,111,1935
7,112,12346
8,113,12239
9,114,2542
10,115,25
11,116,2234
12,117,8448
13,118,10894
14,119,22
15,455,16
16,340,6293
17,341,175993
18,342,229
19,343,2496
20,344,115641
21,345,693
22,346,102
23,347,18250
24,348,17303
25,230,40
26,231,581
27,349,12
28,232,3999
29,233,10922
30,685,11
31,234,17
32,235,14359
33,236,14718
34,237,27
35,238,139
36,120,80
37,571,16
38,121,24611
39,572,71
40,122,9
41,123,3
42,124,460
43,125,543
44,126,29395
45,577,1
46,578,140227
47,460,12
48,350,107
49,351,105229
50,352,10020
51,353,5143
52,354,12
53,355,2291
54,356,68
55,357,2
56,358,1427
57,359,16645
58,360,3316
59,361,63354
60,363,119
61,364,434
62,365,2944
63,366,8
64,881,7
65,101,829
66,102,26
67,103,5
68,104,3494
69,105,43806
70,106,39193
71,107,52991
72,109,90135
