,PREM_TYP_DESC,_c1
0,BRIDGE,935
1,DOCTOR/DENTIST OFFICE,776
2,PUBLIC BUILDING,943
3,HIGHWAY/PARKWAY,1401
4,GAS STATION,1238
5,PRIVATE/PAROCHIAL SCHOOL,422
6,COMMERCIAL BUILDING,7792
7,CHECK CASHING BUSINESS,252
8,PARKING LOT/GARAGE (PRIVATE),1952
9,DRY CLEANER/LAUNDRY,358
10,VIDEO STORE,67
11,BUS (NYC TRANSIT),1135
12,BOOK/CARD,80
13,STREET,68875
14,TRAMWAY,2
15,RESIDENCE - APT. HOUSE,27415
16,CHAIN STORE,4313
17,SMALL MERCHANT,905
18,GROCERY/BODEGA,3221
19,SHOE,73
20,BANK,804
21,BUS (OTHER),248
22,TAXI/LIVERY (UNLICENSED),26
23,CONSTRUCTION SITE,427
24,CANDY STORE,224
25,GYM/FITNESS FACILITY,756
26,AIRPORT TERMINAL,7
27,CEMETERY,122
28,SYNAGOGUE,31
29,RESIDENCE-HOUSE,89409
30,FERRY/FERRY TERMINAL,1128
31,FAST FOOD,862
32,FACTORY/WAREHOUSE,146
33,BEAUTY & NAIL SALON,604
34,PARKING LOT/GARAGE (PUBLIC),3205
35,LOAN COMPANY,26
36,TAXI (LIVERY LICENSED),99
37,BAR/NIGHT CLUB,1264
38,ATM,162
39,STORAGE FACILITY,199
40,OPEN AREAS (OPEN LOTS),664
41,PHOTO/COPY,17
42,FOOD SUPERMARKET,1804
43,TAXI (YELLOW LICENSED),31
44,STORE UNCLASSIFIED,1136
45,LIQUOR STORE,154
46,TRANSIT FACILITY (OTHER),646
47,DRUG STORE,1238
48,RESIDENCE - PUBLIC HOUSING,10884
49,OTHER,7701
50,SOCIAL CLUB/POLICY,127
51,MOSQUE,15
52,RESTAURANT/DINER,2059
53,TRANSIT - NYC SUBWAY,1
54,VARIETY STORE,240
55,TELECOMM. STORE,144
56,ABANDONED BUILDING,222
57,JEWELRY,134
58,HOTEL/MOTEL,518
59,OTHER HOUSE OF WORSHIP,35
60,CHURCH,588
61,PUBLIC SCHOOL,4224
62,HOSPITAL,1384
63,BUS TERMINAL,75
64,BUS STOP,482
65,MARINA/PIER,140
66,PARK/PLAYGROUND,1661
67,TUNNEL,102
68,CLOTHING/BOUTIQUE,736
69,DEPARTMENT STORE,5200
