,_c0,KY_CD,RPT_DT
0,2,117,12/25/2015
1,150,578,11/27/2015
2,48,105,12/06/2015
3,15,233,12/02/2015
4,41,235,11/14/2015
5,2,678,11/24/2015
6,5,355,11/20/2015
7,56,107,11/18/2015
8,3,340,11/13/2015
9,8,112,11/12/2015
10,6,343,11/01/2015
11,6,365,10/22/2015
12,13,348,10/09/2015
13,3,353,10/03/2015
14,3,125,10/02/2015
15,25,121,09/22/2015
16,141,344,09/21/2015
17,2,116,09/20/2015
18,10,352,09/11/2015
19,2,678,09/03/2015
20,3,104,09/01/2015
21,42,126,08/22/2015
22,3,111,08/15/2015
23,71,106,08/13/2015
24,103,109,08/09/2015
25,2,114,08/03/2015
26,3,365,08/01/2015
27,22,236,07/29/2015
28,306,341,07/28/2015
29,10,113,07/27/2015
30,31,359,07/23/2015
31,18,121,07/17/2015
32,158,344,07/16/2015
33,4,116,07/15/2015
34,1,101,07/08/2015
35,10,352,07/06/2015
36,1,124,07/05/2015
37,44,347,07/04/2015
38,24,110,06/30/2015
39,1,123,06/29/2015
40,41,126,06/17/2015
41,3,343,05/31/2015
42,116,351,05/21/2015
43,3,111,05/01/2015
44,12,233,04/27/2015
45,19,110,04/25/2015
46,66,361,04/23/2015
47,20,236,04/15/2015
48,220,341,04/14/2015
49,8,113,04/13/2015
50,1,364,04/11/2015
51,5,116,04/01/2015
52,26,121,04/03/2015
53,146,344,04/02/2015
54,1,238,03/27/2015
55,6,343,03/26/2015
56,106,351,03/16/2015
57,38,126,03/03/2015
58,1,231,03/02/2015
59,1,353,02/28/2015
60,59,361,02/18/2015
61,2,356,02/16/2015
62,171,341,02/09/2015
63,4,113,02/08/2015
64,1,364,02/06/2015
65,28,359,02/04/2015
66,2,350,01/31/2015
67,11,110,01/11/2015
68,8,236,01/01/2015
69,4,343,12/23/2014
70,104,351,12/13/2014
71,11,118,12/10/2014
72,225,341,11/06/2014
73,7,353,11/25/2014
74,1,238,09/05/2006
75,2,343,09/04/2006
76,3,365,08/25/2006
77,3,104,08/24/2006
78,7,232,08/20/2006
79,39,107,08/12/2006
80,3,353,08/06/2006
81,1,111,07/30/2006
82,141,109,07/24/2006
83,13,117,07/14/2006
84,3,348,07/03/2006
85,8,347,06/27/2006
86,12,352,06/21/2006
87,1,124,06/20/2006
88,3,104,06/19/2006
89,221,578,06/16/2006
90,7,232,06/15/2006
91,2,678,06/13/2006
92,3,360,06/11/2006
93,61,107,06/07/2006
94,51,235,06/03/2006
95,5,340,06/02/2006
96,24,112,06/01/2006
97,118,109,05/19/2006
98,4,365,05/11/2006
99,26,117,05/09/2006
100,48,106,04/22/2006
101,11,352,04/16/2006
102,125,109,04/10/2006
103,11,360,04/06/2006
104,19,236,03/30/2006
105,2,116,03/24/2006
106,16,347,03/13/2006
107,1,675,03/11/2006
108,3,104,03/05/2006
109,8,232,03/01/2006
110,26,126,02/26/2006
111,3,111,02/19/2006
112,52,106,02/17/2006
113,8,114,02/07/2006
114,79,109,02/05/2006
115,20,359,01/27/2006
116,27,236,01/25/2006
117,3,364,01/21/2006
118,3,116,01/19/2006
119,31,121,01/13/2006
120,1,124,01/09/2006
121,22,347,01/08/2006
122,3,675,01/06/2006
123,18,352,01/02/2006
124,1,101,12/25/2016
125,12,347,12/21/2016
126,3,365,12/14/2016
127,4,104,12/13/2016
128,44,107,12/01/2016
129,54,106,11/25/2016
130,123,344,10/28/2016
131,90,109,11/13/2016
132,26,117,11/03/2016
133,3,116,10/27/2016
134,27,121,10/21/2016
135,1,124,10/17/2016
136,44,347,10/16/2016
137,6,352,10/10/2016
138,2,104,10/08/2016
139,214,578,10/05/2016
140,1,232,10/04/2016
141,1,678,10/02/2016
142,74,361,09/29/2016
143,23,233,08/24/2016
144,35,121,09/09/2016
145,125,344,09/08/2016
146,5,343,10/31/2013
147,18,359,10/18/2013
148,1,111,10/01/2013
149,2,355,09/30/2013
150,47,107,09/28/2013
151,6,358,09/26/2013
152,59,235,09/24/2013
153,13,340,09/23/2013
154,8,343,09/19/2013
155,1,238,09/12/2013
156,12,118,09/06/2013
157,107,351,09/01/2013
158,2,104,08/31/2013
159,1,350,08/25/2013
160,16,348,08/19/2013
161,3,353,08/13/2013
162,14,233,08/07/2013
163,56,361,08/03/2013
164,136,109,07/31/2013
165,6,360,07/27/2013
166,2,117,07/21/2013
167,65,235,07/19/2013
168,14,348,07/10/2013
169,48,105,07/02/2013
170,8,104,06/26/2013
171,156,578,06/23/2013
172,5,232,06/22/2013
173,1,112,06/16/2013
174,50,107,06/14/2013
175,10,358,06/12/2013
176,23,235,06/10/2013
177,5,114,05/28/2013
178,71,109,05/26/2013
179,18,117,05/16/2013
180,6,348,05/05/2013
181,11,347,04/29/2013
182,8,355,04/19/2013
183,178,578,04/18/2013
184,4,232,04/17/2013
185,1,360,04/13/2013
186,55,107,04/09/2013
187,6,358,04/07/2013
188,76,235,04/05/2013
189,4,116,03/31/2013
190,2,101,03/24/2013
191,8,347,03/20/2013
192,2,104,03/12/2013
193,50,106,02/24/2013
194,5,114,02/14/2013
195,130,109,02/12/2013
196,2,360,02/08/2013
197,20,117,02/02/2013
198,8,121,01/28/2013
199,1,572,01/28/2013
200,139,344,01/27/2013
201,5,116,01/26/2013
202,8,347,01/15/2013
203,1,678,01/09/2013
204,3,104,01/07/2013
205,4,355,01/05/2013
206,165,578,01/04/2013
207,9,232,01/03/2013
208,2,101,12/21/2012
209,150,109,12/18/2012
210,6,365,12/10/2012
211,19,117,12/08/2012
212,22,126,11/30/2012
213,1,111,11/23/2012
214,55,106,11/21/2012
215,2,114,11/11/2012
216,5,232,11/09/2012
217,2,360,11/05/2012
218,23,359,10/31/2012
219,138,344,10/24/2012
220,5,116,10/23/2012
221,1,101,10/16/2012
222,35,117,09/06/2007
223,3,350,09/01/2007
224,38,347,08/19/2007
225,2,675,08/17/2007
226,14,352,08/13/2007
227,4,355,08/09/2007
228,200,578,08/08/2007
229,1,232,08/07/2007
230,1,360,08/03/2007
231,2,116,07/21/2007
232,3,101,07/14/2007
233,10,347,07/10/2007
234,6,104,07/02/2007
235,28,126,06/23/2007
236,3,231,06/22/2007
237,3,111,06/16/2007
238,41,106,06/14/2007
239,8,114,06/04/2007
240,105,109,06/02/2007
241,105,361,05/30/2007
242,253,341,05/29/2007
243,4,113,05/28/2007
244,23,359,05/24/2007
245,32,236,05/22/2007
246,20,121,05/18/2007
247,132,344,05/17/2007
248,1,116,05/16/2007
249,18,121,05/10/2007
250,1,101,05/09/2007
251,1,124,05/06/2007
252,43,347,05/05/2007
253,11,118,04/28/2007
254,28,126,04/18/2007
255,36,106,04/09/2007
256,14,233,03/29/2007
257,69,361,03/25/2007
258,20,233,02/20/2007
259,3,346,03/20/2007
260,22,359,03/19/2007
261,43,110,02/26/2007
262,46,105,02/24/2007
263,151,341,02/15/2007
264,11,113,02/14/2007
265,11,359,02/10/2007
266,125,344,02/03/2007
267,3,116,02/02/2007
268,1,238,01/28/2007
269,3,343,01/27/2007
270,10,118,01/14/2007
271,26,126,01/04/2007
272,11,233,12/26/2006
273,80,361,12/22/2006
274,11,359,12/16/2006
275,17,236,12/14/2006
276,1,364,12/10/2006
277,136,344,12/09/2006
278,2,116,12/08/2006
279,22,110,11/23/2006
280,63,105,11/21/2006
281,12,113,11/11/2006
282,2,358,10/31/2006
283,4,343,10/24/2006
284,19,118,10/11/2006
285,22,126,10/01/2006
286,6,232,09/29/2006
287,4,678,09/27/2006
288,8,360,09/25/2006
289,5,358,09/19/2006
290,28,235,09/17/2006
291,2,340,09/16/2006
292,5,353,08/23/2009
293,3,125,08/22/2009
294,21,348,08/21/2009
295,19,110,08/15/2009
296,59,105,08/13/2009
297,28,236,08/05/2009
298,244,341,08/04/2009
299,7,113,08/03/2009
300,5,364,08/01/2009
301,64,235,07/29/2009
302,9,340,07/28/2009
303,24,112,07/27/2009
304,2,358,07/23/2009
305,1,238,07/17/2009
306,3,343,07/16/2009
307,146,351,07/06/2009
308,2,346,07/04/2009
309,2,678,06/30/2009
310,2,353,06/18/2009
311,3,125,06/17/2009
312,101,361,06/08/2009
313,2,356,06/06/2009
314,2,114,05/30/2009
315,1,122,05/20/2009
316,28,110,05/01/2009
317,4,232,04/27/2009
318,1,678,04/25/2009
319,4,360,04/23/2009
320,3,355,04/21/2009
321,151,578,04/20/2009
322,34,107,04/19/2009
323,99,235,04/15/2009
324,11,340,04/14/2009
325,35,112,04/13/2009
326,2,343,04/02/2009
327,1,114,03/25/2009
328,4,353,03/04/2009
329,1,125,03/03/2009
330,4,348,03/02/2009
331,37,352,02/28/2009
332,1,124,02/27/2009
333,66,109,02/22/2009
334,2,360,02/18/2009
335,2,355,02/16/2009
336,16,340,02/09/2009
337,10,112,02/08/2009
338,3,358,02/04/2009
339,12,121,01/30/2009
340,1,101,01/21/2009
341,3,365,01/18/2009
342,67,107,01/05/2009
343,61,235,01/01/2009
344,80,109,12/28/2008
345,6,114,12/22/2008
346,23,117,12/10/2008
347,2,353,12/01/2008
348,21,352,11/25/2008
349,8,232,11/19/2008
350,3,360,11/15/2008
351,1,355,11/13/2008
352,153,578,11/12/2008
353,110,235,11/07/2008
354,10,340,11/06/2008
355,19,112,11/05/2008
356,13,358,11/01/2008
357,2,111,10/29/2008
358,1,342,10/18/2008
359,6,365,10/15/2008
360,230,341,09/26/2008
361,9,113,09/25/2008
362,25,359,09/21/2008
363,20,121,09/15/2008
364,167,344,09/14/2008
365,4,116,09/13/2008
366,4,101,09/06/2008
367,2,124,09/03/2008
368,11,347,09/02/2008
369,18,126,09/27/2011
370,8,675,09/11/2011
371,1,342,09/09/2011
372,3,114,09/08/2011
373,3,365,09/06/2011
374,165,351,08/31/2011
375,4,111,08/11/2011
376,134,109,08/05/2011
377,6,236,07/25/2011
378,194,341,07/24/2011
379,9,113,07/23/2011
380,1,364,07/21/2011
381,14,121,07/13/2011
382,159,344,07/12/2011
383,2,116,07/11/2011
384,1,675,07/06/2011
385,2,101,07/04/2011
386,15,352,07/02/2011
387,129,351,06/26/2011
388,30,126,06/13/2011
389,1,111,06/06/2011
390,51,361,05/28/2011
391,1,356,05/26/2011
392,227,341,05/19/2011
393,1,364,05/16/2011
394,27,359,05/14/2011
395,17,121,05/08/2011
396,143,344,05/07/2011
397,61,105,04/27/2011
398,3,233,04/23/2011
399,23,110,04/21/2011
400,28,236,04/11/2011
401,150,341,04/10/2011
402,2,343,03/22/2011
403,10,118,03/17/2011
404,114,351,03/12/2011
405,21,233,02/18/2011
406,3,353,02/24/2011
407,27,110,02/16/2011
408,86,361,02/14/2011
409,12,236,02/06/2011
410,161,341,02/05/2011
411,14,113,02/04/2011
