,RPT_DT,_c1
0,12/30/2015,39
1,08/11/2011,40
2,08/07/2007,46
3,03/13/2007,44
4,09/29/2006,42
5,02/17/2015,39
6,04/28/2013,39
7,05/11/2014,39
8,07/22/2012,39
9,01/02/2009,39
10,11/08/2008,39
11,10/30/2006,38
12,02/24/2008,41
13,10/19/2009,39
14,10/23/2013,42
15,11/12/2012,37
16,03/06/2014,40
17,05/15/2010,40
18,01/28/2016,36
19,07/18/2008,43
20,08/11/2012,43
21,11/12/2013,41
22,10/27/2010,41
23,07/18/2009,41
24,01/06/2006,41
25,03/13/2008,43
26,12/30/2016,41
27,04/28/2014,41
28,01/10/2010,38
29,10/23/2014,38
30,06/04/2010,45
31,03/06/2015,43
32,02/17/2016,41
33,05/15/2011,41
34,02/24/2009,42
35,08/07/2008,42
36,10/30/2007,39
37,11/08/2009,42
38,09/29/2007,39
39,05/11/2015,41
40,07/22/2013,40
41,05/15/2012,36
42,10/30/2008,38
43,08/07/2009,44
44,09/29/2008,39
45,08/11/2013,40
46,04/28/2015,40
47,07/26/2010,41
48,01/10/2011,41
49,11/16/2010,41
50,05/11/2016,42
51,07/22/2014,41
52,06/04/2011,44
53,03/13/2009,38
54,01/06/2007,41
55,02/28/2006,44
56,10/23/2015,41
57,11/12/2014,44
58,03/06/2016,41
59,10/27/2011,41
60,06/04/2012,37
61,03/17/2006,40
62,05/15/2013,41
63,11/12/2015,39
64,07/22/2015,43
65,05/22/2006,41
66,10/27/2012,43
67,08/15/2010,42
68,01/06/2008,39
69,10/30/2009,46
70,09/29/2009,39
71,07/26/2011,41
72,02/28/2007,42
73,04/28/2016,37
74,08/11/2014,40
75,01/10/2012,42
76,11/16/2011,42
77,10/23/2016,41
78,05/22/2007,44
79,11/12/2016,40
80,10/01/2006,41
81,07/22/2016,40
82,06/04/2013,40
83,01/10/2013,41
84,08/15/2011,43
85,03/17/2007,43
86,05/15/2014,43
87,10/27/2013,41
88,07/26/2012,46
89,02/28/2008,39
90,01/06/2009,41
91,06/11/2006,43
92,11/16/2012,41
93,08/11/2015,38
94,05/19/2010,40
95,02/28/2009,40
96,06/11/2007,41
97,11/23/2006,34
98,10/01/2007,40
99,05/19/2011,40
100,08/11/2016,43
