,RPT_DT,_c1
0,08/11/2011,134
1,07/18/2008,125
2,10/19/2009,121
3,01/02/2009,123
4,10/23/2013,151
5,11/12/2012,107
6,12/30/2015,146
7,07/22/2012,118
8,03/13/2007,126
9,10/30/2006,124
10,03/06/2014,151
11,01/28/2016,142
12,11/08/2008,113
13,02/17/2015,130
14,05/15/2010,118
15,02/24/2008,112
16,09/29/2006,129
17,05/11/2014,112
18,08/07/2007,139
19,04/28/2013,115
20,07/22/2013,132
21,07/18/2009,117
22,08/07/2008,135
23,03/13/2008,131
24,09/29/2007,116
25,04/28/2014,141
26,01/06/2006,136
27,12/30/2016,147
28,05/11/2015,149
29,06/04/2010,138
30,01/10/2010,110
31,05/15/2011,108
32,02/24/2009,124
33,10/23/2014,136
34,11/12/2013,142
35,03/06/2015,134
36,08/11/2012,123
37,11/08/2009,119
38,10/30/2007,122
39,10/27/2010,129
40,02/17/2016,144
41,10/27/2011,124
42,01/06/2007,129
43,07/22/2014,149
44,02/28/2006,122
45,05/11/2016,153
46,03/06/2016,131
47,06/04/2011,119
48,01/10/2011,117
49,11/16/2010,126
50,04/28/2015,141
51,11/12/2014,149
52,03/13/2009,126
53,10/30/2008,124
54,05/15/2012,128
55,08/11/2013,118
56,07/26/2010,117
57,08/07/2009,138
58,09/29/2008,117
59,10/23/2015,145
60,03/17/2006,122
61,07/26/2011,136
62,11/12/2015,150
63,08/15/2010,121
64,10/30/2009,131
65,05/15/2013,141
66,10/27/2012,128
67,07/22/2015,152
68,09/29/2009,117
69,04/28/2016,140
70,06/04/2012,116
71,11/16/2011,126
72,05/22/2006,125
73,08/11/2014,144
74,10/23/2016,125
75,01/06/2008,105
76,02/28/2007,129
77,01/10/2012,122
78,10/27/2013,134
79,01/06/2009,134
80,02/28/2008,121
81,05/15/2014,151
82,11/12/2016,137
83,08/15/2011,128
84,08/11/2015,139
85,05/19/2010,126
86,01/10/2013,141
87,11/16/2012,121
88,06/11/2006,106
89,03/17/2007,108
90,10/01/2006,119
91,07/22/2016,145
92,05/22/2007,124
93,06/04/2013,145
94,07/26/2012,139
95,08/15/2012,134
96,02/28/2009,113
97,10/01/2007,125
98,06/11/2007,132
99,10/27/2014,140
100,08/11/2016,138
101,05/19/2011,128
102,12/03/2010,123
103,05/15/2015,142
104,01/14/2010,128
105,06/04/2014,149
106,11/23/2006,90
107,05/22/2008,123
108,06/08/2010,133
109,07/26/2013,137
110,01/10/2014,142
111,11/16/2013,139
112,03/17/2008,112
113,12/03/2011,123
114,06/11/2008,128
115,11/16/2014,139
116,05/15/2016,123
117,01/14/2011,120
118,01/10/2015,129
119,09/02/2010,141
120,11/23/2007,121
121,04/04/2006,134
122,05/22/2009,128
123,10/01/2008,135
124,05/19/2012,115
125,03/17/2009,124
126,08/15/2013,136
127,10/27/2015,152
128,06/04/2015,156
129,07/26/2014,139
130,06/08/2011,123
131,05/19/2013,109
132,06/08/2012,128
133,11/23/2008,104
134,04/04/2007,115
135,06/04/2016,138
136,09/02/2011,142
137,07/26/2015,130
138,08/19/2010,133
139,05/30/2010,107
140,10/01/2009,130
141,12/03/2012,128
142,08/15/2014,150
143,01/14/2012,118
144,05/26/2006,133
145,10/27/2016,135
146,06/11/2009,127
147,01/10/2016,130
148,11/16/2015,139
149,01/14/2013,122
150,11/16/2016,151
151,08/15/2015,135
152,11/23/2009,121
153,04/04/2008,126
154,12/03/2013,142
155,12/10/2006,108
156,10/05/2006,133
157,07/26/2016,141
158,09/02/2012,112
159,08/19/2011,119
160,05/30/2011,106
161,05/26/2007,112
162,06/08/2013,130
163,02/01/2010,119
164,05/19/2014,132
165,08/20/2006,118
166,06/15/2006,132
167,05/30/2012,138
168,04/04/2009,119
169,05/26/2008,102
170,12/10/2007,110
171,10/05/2007,137
172,08/20/2007,128
173,06/15/2007,128
174,11/27/2006,131
175,06/08/2014,124
176,01/14/2014,140
177,12/03/2014,142
178,09/02/2013,118
179,05/19/2015,156
180,03/23/2010,135
181,01/18/2010,114
182,02/01/2011,121
183,12/07/2010,125
184,03/19/2006,105
185,08/19/2012,123
186,08/15/2016,145
187,08/19/2013,140
188,12/10/2008,125
189,12/03/2015,148
190,06/08/2015,154
191,01/14/2015,145
192,05/30/2013,138
193,03/19/2007,119
194,05/19/2016,156
195,10/05/2008,112
196,11/27/2007,131
197,02/01/2012,141
198,01/18/2011,115
199,04/12/2010,111
200,03/23/2011,129
201,08/20/2008,138
202,06/15/2008,100
203,04/08/2006,117
204,09/06/2010,118
205,05/26/2009,124
206,09/02/2014,153
207,12/07/2011,121
208,08/20/2009,134
209,06/15/2009,126
