,KY_CD,_c1
0,672,2
1,675,232
2,676,1
3,677,30
4,678,1761
5,110,23480
6,111,1627
7,112,10577
8,113,9439
9,114,4057
10,115,33
11,116,2420
12,117,23282
13,118,12784
14,119,9
15,455,16
16,340,6140
17,341,153746
18,342,133
19,343,2827
20,344,139938
21,345,386
22,346,385
23,347,12504
24,348,15869
25,230,25
26,231,271
27,349,4
28,232,4083
29,233,8934
30,234,23
31,685,1
32,235,117076
33,236,27279
34,237,54
35,238,164
36,120,134
37,571,13
38,121,10070
39,572,236
40,122,33
41,124,604
42,125,1156
43,126,20456
44,578,144291
45,460,3
46,350,658
47,351,104020
48,352,23366
49,353,2436
50,354,20
51,355,3821
52,356,377
53,357,1
54,358,3630
55,359,33144
56,360,3259
57,361,67305
58,362,1
59,363,242
60,364,3158
61,365,2172
62,366,7
63,881,1
64,101,1286
65,102,14
66,103,9
67,104,3366
68,105,49592
69,106,53825
70,107,36236
71,109,61113
