,PREM_TYP_DESC,_c1
0,BRIDGE,579
1,DOCTOR/DENTIST OFFICE,3977
2,HIGHWAY/PARKWAY,4668
3,PUBLIC BUILDING,9486
4,GAS STATION,4176
5,PRIVATE/PAROCHIAL SCHOOL,2023
6,COMMERCIAL BUILDING,31550
7,CHECK CASHING BUSINESS,1774
8,PARKING LOT/GARAGE (PRIVATE),8240
9,DRY CLEANER/LAUNDRY,4221
10,VIDEO STORE,543
11,BUS (NYC TRANSIT),3437
12,BOOK/CARD,303
13,STREET,583210
14,TRAMWAY,40
15,RESIDENCE - APT. HOUSE,378660
16,CHAIN STORE,24125
17,SMALL MERCHANT,6073
18,GROCERY/BODEGA,23037
19,SHOE,815
20,BANK,5502
21,BUS (OTHER),721
22,TAXI/LIVERY (UNLICENSED),337
23,CANDY STORE,2370
24,CONSTRUCTION SITE,2782
25,GYM/FITNESS FACILITY,3329
26,AIRPORT TERMINAL,22
27,CEMETERY,186
28,SYNAGOGUE,1279
29,RESIDENCE-HOUSE,169202
30,FERRY/FERRY TERMINAL,11
31,FAST FOOD,6983
32,FACTORY/WAREHOUSE,2495
33,BEAUTY & NAIL SALON,4377
34,PARKING LOT/GARAGE (PUBLIC),8454
35,LOAN COMPANY,134
36,TAXI (LIVERY LICENSED),1405
37,BAR/NIGHT CLUB,9655
38,STORAGE FACILITY,1576
39,ATM,1322
40,OPEN AREAS (OPEN LOTS),2816
41,PHOTO/COPY,189
42,FOOD SUPERMARKET,8731
43,TAXI (YELLOW LICENSED),981
44,STORE UNCLASSIFIED,7700
45,LIQUOR STORE,1275
46,DRUG STORE,9068
47,TRANSIT FACILITY (OTHER),850
48,RESIDENCE - PUBLIC HOUSING,138288
49,OTHER,41372
50,SOCIAL CLUB/POLICY,1058
51,MOSQUE,216
52,RESTAURANT/DINER,12677
53,TRANSIT - NYC SUBWAY,30524
54,TELECOMM. STORE,2226
55,VARIETY STORE,2786
56,JEWELRY,837
57,ABANDONED BUILDING,733
58,HOTEL/MOTEL,1994
59,OTHER HOUSE OF WORSHIP,240
60,CHURCH,2995
61,PUBLIC SCHOOL,22088
62,HOSPITAL,7190
63,BUS TERMINAL,69
64,BUS STOP,1199
65,MARINA/PIER,687
66,PARK/PLAYGROUND,17118
67,TUNNEL,680
68,CLOTHING/BOUTIQUE,7050
69,DEPARTMENT STORE,22152
