,KY_CD,_c1
0,672,7
1,675,592
2,676,18
3,677,95
4,678,2982
5,110,11277
6,111,3183
7,112,17591
8,113,17044
9,114,2221
10,115,33
11,116,3064
12,117,16292
13,118,11353
14,119,5
15,455,14
16,340,10182
17,341,282879
18,342,210
19,343,5540
20,344,109505
21,345,133
22,346,169
23,347,17469
24,348,13726
25,230,233
26,231,993
27,349,13
28,232,6104
29,233,11820
30,685,3
31,234,31
32,235,68603
33,236,15242
34,237,42
35,238,2391
36,120,81
37,571,79
38,121,14417
39,572,245
40,122,37
41,124,435
42,125,1045
43,126,21182
44,577,1
45,578,134287
46,460,1
47,350,822
48,351,85948
49,352,24016
50,353,1901
51,354,31
52,355,3305
53,356,117
54,357,8
55,358,11335
56,359,26568
57,360,5526
58,361,62983
59,362,2
60,363,221
61,364,1695
62,365,1132
63,366,24
64,101,660
65,102,16
66,103,7
67,104,3232
68,105,41429
69,106,36799
70,107,37544
71,109,183570
