,KY_CD,_c1
0,675,52
1,676,1
2,677,11
3,678,283
4,110,3921
5,111,214
6,112,3730
7,113,1329
8,114,856
9,115,2
10,116,545
11,117,2564
12,118,1883
13,455,1
14,340,2935
15,341,40391
16,342,29
17,343,469
18,344,25332
19,345,31
20,346,25
21,347,6688
22,348,1687
23,231,68
24,232,973
25,233,1572
26,234,1
27,235,9539
28,236,2935
29,237,6
30,238,11
31,120,9
32,571,2
33,121,5324
34,572,39
35,123,1
36,124,76
37,125,252
38,126,4942
39,577,1
40,578,49104
41,350,10
42,351,32643
43,352,1535
44,353,1350
45,354,3
46,355,557
47,356,8
48,358,326
49,359,7482
50,360,457
51,361,20781
52,363,102
53,364,156
54,365,523
55,101,169
56,102,10
57,103,2
58,104,591
59,105,4867
60,106,6166
61,107,7438
62,109,12631
