,PREM_TYP_DESC,_c1
0,BRIDGE,2063
1,DOCTOR/DENTIST OFFICE,3803
2,HIGHWAY/PARKWAY,2216
3,PUBLIC BUILDING,10382
4,GAS STATION,997
5,PRIVATE/PAROCHIAL SCHOOL,1996
6,COMMERCIAL BUILDING,62624
7,CHECK CASHING BUSINESS,1210
8,PARKING LOT/GARAGE (PRIVATE),3761
9,DRY CLEANER/LAUNDRY,1747
10,VIDEO STORE,775
11,BUS (NYC TRANSIT),1935
12,BOOK/CARD,1142
13,STREET,378383
14,TRAMWAY,26
15,RESIDENCE - APT. HOUSE,241277
16,CHAIN STORE,46252
17,SMALL MERCHANT,9276
18,GROCERY/BODEGA,13364
19,SHOE,2231
20,BANK,9375
21,BUS (OTHER),726
22,TAXI/LIVERY (UNLICENSED),223
23,CONSTRUCTION SITE,3100
24,CANDY STORE,1776
25,GYM/FITNESS FACILITY,9017
26,AIRPORT TERMINAL,13
27,CEMETERY,55
28,SYNAGOGUE,335
29,RESIDENCE-HOUSE,8024
30,FERRY/FERRY TERMINAL,422
31,FAST FOOD,8988
32,FACTORY/WAREHOUSE,361
33,BEAUTY & NAIL SALON,3823
34,PARKING LOT/GARAGE (PUBLIC),3918
35,LOAN COMPANY,75
36,TAXI (LIVERY LICENSED),1102
37,BAR/NIGHT CLUB,36760
38,ATM,1819
39,STORAGE FACILITY,645
40,OPEN AREAS (OPEN LOTS),1287
41,PHOTO/COPY,421
42,FOOD SUPERMARKET,8413
43,TAXI (YELLOW LICENSED),3345
44,STORE UNCLASSIFIED,6695
45,LIQUOR STORE,914
46,DRUG STORE,17960
47,TRANSIT FACILITY (OTHER),1609
48,RESIDENCE - PUBLIC HOUSING,127763
49,OTHER,32192
50,MOSQUE,149
51,SOCIAL CLUB/POLICY,1131
52,RESTAURANT/DINER,32796
53,TRANSIT - NYC SUBWAY,57514
54,TELECOMM. STORE,2695
55,VARIETY STORE,1885
56,JEWELRY,2055
57,ABANDONED BUILDING,433
58,HOTEL/MOTEL,15406
59,OTHER HOUSE OF WORSHIP,189
60,CHURCH,2727
61,PUBLIC SCHOOL,14659
62,HOSPITAL,8667
63,BUS TERMINAL,3568
64,BUS STOP,560
65,MARINA/PIER,1174
66,PARK/PLAYGROUND,23369
67,TUNNEL,714
68,CLOTHING/BOUTIQUE,30050
69,DEPARTMENT STORE,44207
