,MONTH,DAY,YEAR,_c3
0,01,02,2009,1370
1,11,08,2008,1410
2,05,15,2010,1341
3,10,19,2009,1341
4,08,07,2007,1695
5,03,13,2007,1605
6,10,30,2006,1575
7,09,29,2006,1590
8,07,22,2012,1345
9,01,28,2016,1406
10,10,23,2013,1457
11,04,28,2013,1187
12,11,12,2012,1221
13,12,30,2015,1265
14,02,17,2015,1117
15,08,11,2011,1621
16,07,18,2008,1587
17,02,24,2008,1129
18,05,11,2014,1178
19,03,06,2014,1367
20,07,18,2009,1406
21,02,24,2009,1481
22,05,11,2015,1448
23,03,06,2015,1180
24,05,15,2011,1138
25,10,27,2010,1579
26,07,22,2013,1498
27,08,11,2012,1476
28,08,07,2008,1682
29,03,13,2008,1560
30,10,30,2007,1603
31,09,29,2007,1552
32,01,06,2006,1563
33,12,30,2016,1308
34,10,23,2014,1286
35,04,28,2014,1304
36,11,12,2013,1296
37,02,17,2016,1315
38,06,04,2010,1624
39,01,10,2010,1108
40,11,08,2009,1278
41,02,28,2006,1460
42,11,12,2014,1464
43,07,22,2014,1517
44,07,26,2010,1446
45,05,11,2016,1495
46,03,06,2016,1137
47,05,15,2012,1364
48,10,27,2011,1303
49,08,11,2013,1380
50,01,06,2007,1365
51,10,23,2015,1377
52,04,28,2015,1383
53,08,07,2009,1590
54,03,13,2009,1483
55,10,30,2008,1472
56,09,29,2008,1574
57,06,04,2011,1435
58,01,10,2011,1264
59,11,16,2010,1444
60,08,11,2014,1490
61,02,28,2007,1645
62,07,26,2011,1551
63,04,28,2016,1324
64,08,15,2010,1302
65,10,30,2009,1519
66,09,29,2009,1463
67,05,22,2006,1580
68,03,17,2006,1490
69,10,23,2016,1180
70,06,04,2012,1312
71,01,10,2012,1556
72,11,16,2011,1355
73,01,06,2008,1241
74,05,15,2013,1547
75,10,27,2012,1305
76,11,12,2015,1392
77,07,22,2015,1574
78,07,26,2012,1457
79,02,28,2008,1441
80,05,19,2010,1503
81,05,15,2014,1483
82,10,27,2013,1246
83,06,04,2013,1557
84,01,10,2013,1503
85,11,16,2012,1371
86,06,11,2006,1257
87,11,12,2016,1158
88,05,22,2007,1712
89,03,17,2007,903
90,10,01,2006,1317
91,08,15,2011,1453
92,01,06,2009,1481
93,08,11,2015,1354
94,07,22,2016,1365
95,06,11,2007,1637
96,11,23,2006,802
97,05,19,2011,1534
98,12,03,2010,1396
99,05,22,2008,1539
100,03,17,2008,1463
101,10,01,2007,1658
